ID,Type of Defect,Date Recorded,Stage Detected,Description,Risk,Part Involved,Car Model
1262,Mechanical,9/4/2022,Production,Order despite mother big forward prevent.,Medium,Engine,SUV
1263,Other,9/18/2022,After Sales,Almost student fly where two respond.,High,Suspension,Sedan
1264,Body,11/13/2012,Production,Thought too realize child.,Low,Transmission,SUV
1265,Electrical,11/9/2020,Testing,Team you available operation decision reflect then.,Medium,Other,SUV
1266,Body,6/10/2017,Customer Delivery,Spring know interesting much late former.,Medium,Other,Truck
1267,Other,12/7/2023,Testing,Choice similar technology where such my.,Medium,Interior,Truck
1268,Mechanical,5/22/2018,Production,Hair allow turn week evidence pick bring.,Medium,Other,SUV
1269,Electrical,11/26/2023,Customer Delivery,Body administration claim.,Low,Other,Sedan
1270,,8/6/2020,,,,,
1271,Electrical,1/13/2023,Testing,Child benefit receive more power.,High,Body Panels,Truck
1272,Mechanical,11/16/2019,Customer Delivery,Hear myself only north space position.,Low,Engine,SUV
1273,Software,4/20/2020,Customer Delivery,Score whatever can away support her.,High,Other,SUV
1274,Other,1/11/2018,Production,Turn difficult now allow up dinner stage.,High,Transmission,Hatchback
1275,Software,12/30/2022,After Sales,Table by road degree hot though.,Medium,Other,Truck
1276,Body,10/9/2019,After Sales,Our out break thus take.,Low,Engine,Hatchback
1277,Mechanical,6/7/2020,After Sales,Other suffer quickly charge.,Medium,Body Panels,Truck
1278,Electrical,5/22/2020,Testing,Leader unit individual apply.,Medium,Other,Hatchback
1279,Software,10/15/2018,Testing,Into high good beat sort.,High,Other,Sedan
1280,Body,11/28/2013,Production,Be feel total piece yes your.,High,Other,SUV
1281,Other,11/11/2023,Customer Delivery,Sometimes four style never final business food policy.,Low,Interior,Hatchback
1282,Mechanical,1/23/2016,Production,For culture front place.,Low,Electrical System,Truck
1283,Mechanical,9/11/2019,After Sales,Land author thing special offer.,Low,Other,Truck
1284,Software,11/17/2023,Testing,Inside fact law series window should real then.,Medium,System,Sedan
1285,Mechanical,1/21/2013,Production,Under young worker personal message.,Low,Interior,Truck
1286,Mechanical,9/12/2011,Customer Delivery,Mission itself front employee.,Low,Interior,SUV
1287,Electrical,9/16/2019,Production,Camera spring under my.,High,Engine,Truck
1288,Other,2/1/2023,Testing,Bring help upon cup citizen lose.,Medium,Suspension,Hatchback
1289,Other,5/19/2020,Production,Interesting body western month could.,Medium,Body Panels,SUV
1290,Software,9/19/2021,Testing,Debate full scientist politics another more forget.,Low,Other,SUV
1291,Body,6/1/2014,Production,Beat edge hot.,Medium,Engine,Hatchback
1292,Other,2/22/2023,Customer Delivery,Manage possible like oil article.,Low,Body Panels,SUV
1293,Software,2/18/2022,After Sales,Yard ground hundred into front card forget.,High,Other,SUV
1294,Mechanical,9/12/2022,Customer Delivery,Skill young us station five.,High,Transmission,Sedan
1295,Mechanical,4/26/2023,After Sales,Eye couple service.,High,Transmission,Truck
1296,Software,7/24/2020,Production,Scene data son sometimes read main.,Low,System,Truck
1297,Electrical,3/17/2021,Production,Answer hand write position affect throughout reason.,Medium,Engine,SUV
1298,Mechanical,2/23/2020,Customer Delivery,Among apply offer opportunity.,Medium,Electrical System,SUV
1299,Mechanical,12/29/2020,After Sales,Pull election sometimes seem kid statement bank.,High,Body Panels,Truck
1300,Software,10/13/2018,Production,These ability local major.,High,System,SUV
1301,,8/15/2023,,,,,
1302,Other,1/13/2017,Customer Delivery,Method government detail may bill.,Medium,Electrical System,Sedan
1303,Mechanical,11/1/2022,Testing,Budget deal million political.,Low,Electrical System,Hatchback
1304,,10/7/2023,,,,,
1305,Body,1/15/2023,Customer Delivery,Dog build decision hair pay activity likely Democrat.,Low,Engine,Sedan
1306,Body,4/2/2019,After Sales,Democratic cell think.,High,Electrical System,Truck
1307,Body,7/22/2021,After Sales,All and fine plan marriage.,Medium,Brakes,Sedan
1308,,6/10/2023,,,,,
1309,Electrical,4/7/2020,Customer Delivery,Agreement author cell.,High,Transmission,Truck
1310,Mechanical,7/19/2021,Production,Possible whole every do red since ball.,Low,Suspension,SUV
1311,Software,8/23/2017,Testing,Stuff life one mean difficult accept.,Medium,System,Hatchback
1312,Mechanical,5/19/2015,Testing,Include time of American.,High,Brakes,SUV
1313,Other,11/11/2022,Production,Hotel position reality year rather per game.,High,Suspension,Sedan
1314,Other,2/17/2019,Customer Delivery,Reflect form pick risk.,Medium,Body Panels,SUV
1315,Software,10/16/2015,Customer Delivery,Before charge dream act still matter market claim.,Low,Other,SUV
1316,Other,5/22/2022,Testing,On team day information raise.,Medium,Other,SUV
1317,Body,8/6/2019,Testing,Drop kitchen step chance trade difference thing.,Low,Transmission,SUV
1318,Other,9/16/2023,Production,Product improve wear other offer chair media.,High,Other,Hatchback
1319,Other,9/22/2019,Production,Budget production late.,Medium,Brakes,Hatchback
1320,Other,7/18/2021,Production,Probably hope show health pass tend compare.,Medium,Engine,SUV
1321,Body,8/10/2022,Customer Delivery,Cover career air short.,High,Interior,Sedan
1322,Mechanical,5/23/2020,After Sales,Order business for other candidate way daughter establish.,High,Engine,Truck
1323,Electrical,2/10/2020,After Sales,First marriage save describe.,Low,Transmission,SUV
1324,Electrical,6/15/2016,After Sales,Carry bring simple capital trouble measure.,Low,Electrical System,Sedan
1325,Other,3/29/2013,Production,Manager him next protect building.,Medium,Brakes,Truck
1326,Software,9/26/2021,Customer Delivery,Head girl financial different manager thank.,Medium,Other,Truck
1327,Mechanical,3/12/2015,Testing,Together four strong sometimes without.,High,Engine,Hatchback
1328,Mechanical,1/1/2019,After Sales,Or show leader unit race.,Medium,Transmission,Sedan
1329,Electrical,1/6/2021,After Sales,Mean choice kid interest thought list.,High,Engine,Hatchback
1330,Body,7/11/2019,Production,Data remain manage.,High,Transmission,Hatchback
1331,Body,7/24/2014,After Sales,North they yes record maybe box interesting.,High,Brakes,SUV
1332,Electrical,4/29/2023,Production,Can out me thousand indicate situation during.,Medium,Transmission,Hatchback
1333,Other,12/7/2023,After Sales,Seven still store certain president.,High,Brakes,Truck
1334,Mechanical,11/27/2022,Customer Delivery,Find statement word.,Low,Electrical System,SUV
1335,Electrical,9/15/2021,Testing,Oil toward when vote child.,Low,Electrical System,Hatchback
1336,Mechanical,4/8/2018,After Sales,Affect ask per.,Medium,Transmission,SUV
1337,Software,8/10/2022,Customer Delivery,Dream recently anyone garden daughter meeting main behind.,High,System,Sedan
1338,Mechanical,7/1/2018,Testing,Service increase care condition.,High,Interior,SUV
1339,Other,7/27/2023,Testing,Military major over.,Low,Other,Truck
1340,Body,5/9/2018,Customer Delivery,Industry structure worker author.,Medium,Body Panels,Hatchback
1341,Software,10/23/2023,Production,Maybe of worry hard side.,Low,System,Sedan
1342,Software,11/16/2021,After Sales,Heavy side site any international rock stuff new.,Low,Other,Truck
1343,,9/15/2012,,,,,
1344,Body,6/8/2023,Customer Delivery,Idea writer side share age now society.,High,Brakes,SUV
1345,Software,5/30/2020,Customer Delivery,Show agree watch message meet.,Low,System,Hatchback
1346,Other,10/31/2023,Testing,Entire have kind total PM.,Low,Body Panels,Sedan
1347,Body,4/19/2023,Customer Delivery,At time throw than human course myself.,Low,Brakes,Sedan
1348,Software,5/13/2018,Testing,Audience space have collection.,High,Other,SUV
1349,Other,10/25/2022,After Sales,Number probably strategy.,High,Engine,Hatchback
1350,Body,9/2/2021,Production,Entire toward provide result meeting necessary.,Low,Body Panels,Truck
1351,Other,2/2/2018,Production,Get unit perhaps garden process.,High,Transmission,Hatchback
1352,Mechanical,1/28/2022,Testing,Produce country air.,High,Suspension,Sedan
1353,Software,8/26/2022,After Sales,Laugh ask benefit daughter clearly court green.,Medium,Other,Sedan
1354,,3/26/2023,,,,,
1355,Electrical,5/2/2022,After Sales,No few project five.,Low,Brakes,Truck
1356,Electrical,4/13/2023,Production,Glass though prove wonder your other.,Low,Other,Truck
1357,Electrical,3/10/2021,Customer Delivery,Station both it person interesting describe meet.,Medium,Brakes,Hatchback
1358,,6/26/2018,,,,,
1359,Body,8/27/2019,After Sales,Project minute laugh north speak from.,Low,Suspension,SUV
1360,Electrical,12/20/2021,Customer Delivery,What significant possible probably.,Low,Interior,Sedan
1361,Software,8/9/2017,Testing,Even mouth market.,Low,System,SUV
1362,Mechanical,9/23/2017,After Sales,Wind country trouble training radio boy.,High,Electrical System,Truck
1363,Body,4/15/2015,Customer Delivery,Three school pick around play writer wife.,Low,Body Panels,Truck
1364,Electrical,8/23/2021,After Sales,Watch former here child among example almost heavy.,Low,Other,Sedan
1365,Mechanical,4/17/2020,Testing,Foot in toward determine available factor activity customer.,High,Electrical System,Truck
1366,Other,1/10/2022,Production,May meet daughter culture environmental condition action.,Low,Suspension,SUV
1367,,8/27/2019,,,,,
1368,Body,7/1/2022,Production,Unit dinner six myself ground seem.,Low,Interior,SUV
1369,Software,12/27/2023,Production,Other leader performance protect.,Medium,System,SUV
1370,Body,9/6/2018,Production,Decision participant notice reality themselves.,High,Transmission,Hatchback
1371,Electrical,9/10/2020,Production,Later well fill station factor never.,Medium,Electrical System,Hatchback
1372,Mechanical,1/17/2023,Production,Option believe doctor gas move leave.,Medium,Other,Sedan
1373,Software,5/18/2016,Production,Outside thank employee join cultural entire.,Low,System,SUV
1374,Software,9/18/2014,Production,Learn think event Democrat guess officer lawyer task.,High,Other,Truck
1375,Body,4/9/2019,Testing,Movie nothing follow including sort word.,Medium,Electrical System,Sedan
1376,Other,12/11/2021,Production,Else hundred wear book protect.,High,Transmission,Truck
1377,Body,6/2/2023,Testing,Seven trade budget approach late school pressure capital.,High,Brakes,SUV
1378,Electrical,2/17/2018,Production,Trip may piece.,Medium,Body Panels,Hatchback
1379,Software,10/18/2023,Production,Boy already modern mission reflect technology.,High,System,SUV
1380,Mechanical,6/20/2020,Testing,Town partner strong as soon catch.,High,Transmission,SUV
1381,Other,2/15/2023,Testing,Audience history staff science station product true.,Low,Body Panels,Sedan
1382,Software,12/28/2023,Testing,Already interesting not same.,High,Other,Sedan
1383,Other,9/26/2023,Production,Paper view class sing police.,High,Engine,SUV
1384,Other,7/14/2022,Testing,Main less beautiful world to production.,Medium,Other,SUV
1385,Software,12/3/2023,Testing,Focus film health camera agent compare too.,Low,System,Hatchback
1386,Mechanical,1/15/2023,Production,Close area manager stock view social.,Low,Body Panels,SUV
1387,Software,4/8/2017,After Sales,Indicate else American art attack movement per.,Low,Other,Hatchback
1388,Other,12/9/2015,Testing,Room ask story product certainly top agency.,High,Suspension,Hatchback
1389,Software,6/22/2018,Customer Delivery,College those ask wrong.,Low,Other,Hatchback
1390,Mechanical,11/18/2022,Production,Add drive better sister wrong us.,Low,Engine,SUV
1391,Other,9/18/2019,After Sales,Medical foot director media.,Low,Other,Truck
1392,Electrical,12/11/2012,After Sales,At clearly cultural citizen rest.,Medium,Interior,Sedan
1393,Mechanical,9/8/2022,Production,Chair far value hit him value later.,Medium,Transmission,Sedan
1394,Other,7/8/2019,Customer Delivery,Quite score just fine ability.,Low,Other,Hatchback
1395,Body,11/14/2023,After Sales,Eight chance run price.,High,Body Panels,Sedan
1396,Mechanical,12/14/2016,After Sales,Size participant along amount.,High,Other,Hatchback
1397,Software,11/15/2023,Testing,Tax understand use.,High,Other,SUV
1398,Electrical,12/31/2023,Customer Delivery,Arrive total service early official.,High,Brakes,Sedan
1399,Body,12/3/2013,Testing,Brother shoulder usually TV.,High,Electrical System,Sedan
1400,Electrical,4/9/2021,Production,Consider later total war understand couple article.,Low,Body Panels,Hatchback
1401,Body,6/30/2022,After Sales,In stock foot manage network little hear.,Medium,Transmission,SUV
1402,Software,6/7/2021,Customer Delivery,Success least expert structure tax.,Medium,Other,Hatchback
1403,Software,6/1/2017,Testing,Loss difference especially improve.,Medium,System,Sedan
1404,Software,7/23/2021,Production,Pick even local go share letter.,Low,Other,SUV
1405,Body,9/7/2014,Production,Woman once house writer.,High,Engine,Hatchback
1406,Electrical,11/17/2022,Customer Delivery,Spring our together majority.,Low,Brakes,Sedan
1407,Electrical,1/9/2023,Production,Discussion this friend hit kid remember.,Medium,Electrical System,Sedan
1408,Electrical,6/30/2023,Customer Delivery,Land college parent party five collection.,High,Interior,Hatchback
1409,Software,10/5/2016,After Sales,Time apply TV tend better resource who.,Medium,Other,Hatchback
1410,Software,10/10/2021,Customer Delivery,Commercial always time half least.,High,Other,SUV
1411,Software,9/26/2023,After Sales,Run ever soon him sit.,Medium,Other,Truck
1412,Mechanical,2/25/2023,Production,Mother red section wide.,High,Electrical System,SUV
1413,,9/2/2022,,,,,
1414,Mechanical,6/9/2022,Customer Delivery,Place best only kid society.,Low,Body Panels,Sedan
1415,Electrical,1/7/2016,Customer Delivery,Theory listen city front site.,Low,Engine,SUV
1416,,11/27/2014,,,,,
1417,Body,11/12/2014,After Sales,Move sister edge many.,Low,Electrical System,Truck
1418,,11/11/2023,,,,,
1419,Body,7/5/2017,After Sales,Address commercial choose top deal machine.,High,Engine,SUV
1420,Mechanical,11/8/2013,After Sales,Business class matter go.,Low,Interior,Sedan
1421,Other,11/14/2021,After Sales,Board box continue ball.,Medium,Other,Hatchback
1422,Mechanical,8/20/2020,Customer Delivery,Offer wish else read.,Low,Interior,SUV
1423,Electrical,5/13/2015,After Sales,Work positive high debate act part.,Medium,Transmission,Truck
1424,Electrical,9/8/2023,After Sales,Side common leader behavior style.,Low,Brakes,SUV
1425,Mechanical,8/11/2016,Testing,Subject never possible.,Low,Transmission,Hatchback
1426,Body,8/23/2021,Customer Delivery,Bank than current clear buy.,High,Electrical System,Sedan
1427,Other,12/27/2022,Production,Accept per school throughout week.,High,Brakes,Hatchback
1428,Software,5/8/2018,Testing,Evidence air this avoid remain nice police law.,Low,Other,SUV
1429,Other,4/7/2022,Testing,Move all forget sister.,Low,Electrical System,Hatchback
1430,Mechanical,1/29/2021,Customer Delivery,Attorney pattern price former free reach believe recognize.,High,Electrical System,Truck
1431,Software,3/27/2022,Customer Delivery,Development hit inside time cost writer operation.,Low,Other,Truck
1432,Electrical,3/17/2022,Testing,Coach fill cause quickly fish experience life.,High,Transmission,Sedan
1433,Electrical,7/7/2017,Customer Delivery,Five phone always word car behavior.,Low,Interior,Hatchback
1434,Software,5/5/2023,Testing,Affect animal wrong western.,Medium,System,Hatchback
1435,Other,4/10/2021,Testing,Culture seek yes approach interesting thank security day.,Low,Body Panels,Sedan
1436,Body,8/2/2016,After Sales,Write between mouth late food moment too.,Low,Other,Sedan
1437,Mechanical,1/24/2020,After Sales,Notice agency position region go everything.,Medium,Transmission,Hatchback
1438,Body,2/4/2021,Production,Notice drug without accept respond capital.,Low,Brakes,Truck
1439,Mechanical,6/8/2023,Customer Delivery,Late feel yeah mention.,High,Transmission,Truck
1440,Mechanical,11/7/2020,After Sales,Game medical four usually.,High,Engine,Hatchback
1441,Electrical,1/4/2021,Production,Pattern dream middle next ten over.,High,Brakes,SUV
1442,Mechanical,4/25/2018,Production,See sing mind nothing point talk too.,Medium,Electrical System,SUV
1443,Mechanical,1/27/2023,Production,Push next support catch game eat break tell.,Medium,Interior,Hatchback
1444,Mechanical,8/26/2019,Production,Let method interesting director trip him recent.,High,Interior,Hatchback
1445,Electrical,11/27/2023,After Sales,Rock nor heavy show hear course condition.,Medium,Transmission,Hatchback
1446,Electrical,12/16/2023,Production,Number call win beat field degree medical.,High,Other,SUV
1447,Other,12/6/2019,After Sales,Discuss Congress box figure candidate world even I.,High,Suspension,Truck
1448,Body,3/28/2020,Customer Delivery,Series window threat land agency oil state.,Medium,Electrical System,SUV
1449,Electrical,9/18/2013,Testing,Kitchen later sure by too.,Low,Other,Sedan
1450,Software,9/5/2022,Customer Delivery,Movement picture care response today say article.,Low,System,Sedan
1451,Mechanical,5/30/2019,After Sales,Stay or appear help future style total.,Medium,Transmission,SUV
1452,Mechanical,12/25/2012,Customer Delivery,After good right difficult show rest.,High,Transmission,SUV
1453,Software,6/30/2022,Customer Delivery,Often hour win.,High,Other,SUV
1454,Body,3/4/2021,Testing,Say arm board every sign behavior card for.,Low,Interior,Hatchback
1455,Other,6/22/2021,Production,Above experience especially.,Medium,Brakes,Hatchback
1456,Software,5/13/2021,Customer Delivery,Take hospital firm.,High,Other,Sedan
1457,Software,10/3/2020,Testing,Method help in simply show.,Low,Other,SUV
1458,Body,5/10/2023,Customer Delivery,At fact upon trip fact energy bar expect.,High,Engine,Truck
1459,Other,1/11/2023,Testing,Walk first develop house.,Low,Brakes,Hatchback
1460,Software,2/23/2023,Testing,West well left style general teach amount including.,Medium,System,SUV
1461,Software,10/22/2023,Customer Delivery,Wish commercial whole deep.,Medium,Other,SUV
1462,Body,9/17/2021,Testing,Table interesting hand east example away visit.,Medium,Electrical System,SUV
1463,Software,1/25/2020,After Sales,Alone commercial generation organization.,High,System,Hatchback
1464,Software,5/27/2019,Testing,Loss smile four.,Low,Other,Hatchback
1465,Software,3/5/2017,After Sales,Government money threat lot very follow Republican.,High,Other,SUV
1466,Software,9/13/2021,Customer Delivery,Already charge development woman.,High,System,SUV
1467,Electrical,12/5/2023,Production,Defense threat available agency be.,Medium,Brakes,Truck
1468,Body,7/9/2023,Testing,Them capital turn garden personal between.,Medium,Electrical System,Hatchback
1469,Electrical,3/19/2017,Customer Delivery,Red relate late start place impact dream.,High,Engine,Truck
1470,Body,5/27/2022,Customer Delivery,Task total car like send collection.,High,Electrical System,Truck
1471,,11/9/2020,,,,,
1472,Other,4/19/2022,After Sales,Hope space lay our will boy writer.,High,Interior,SUV
1473,Electrical,5/9/2019,Testing,Perform collection century manage fund walk wait.,Low,Electrical System,Truck
1474,,10/22/2023,,,,,
1475,Electrical,9/8/2023,Testing,Soon everybody suffer color.,Medium,Engine,SUV
1476,Other,6/16/2021,After Sales,Work ask knowledge age have.,High,Interior,SUV
1477,Body,3/16/2022,Customer Delivery,First whether commercial appear.,Low,Brakes,Sedan
1478,Other,2/17/2023,Customer Delivery,Individual among candidate their treat pattern who.,High,Electrical System,Sedan
1479,Body,12/23/2022,Testing,Cultural serious would organization.,Medium,Interior,SUV
1480,Other,1/24/2020,Customer Delivery,Arrive provide involve mind.,Medium,Body Panels,Truck
1481,Body,11/23/2022,After Sales,Movement central yourself father.,Medium,Interior,Hatchback
1482,Software,5/21/2022,Production,Large skin perhaps message.,Medium,System,SUV
1483,Electrical,11/30/2015,After Sales,Republican too edge while.,Low,Electrical System,SUV
1484,Software,4/16/2023,After Sales,Spring hotel sense.,Medium,Other,SUV
1485,Other,12/7/2023,After Sales,Dark option piece explain partner.,Low,Other,Sedan
1486,Software,12/20/2023,Testing,Black financial sort report also.,High,System,SUV
1487,Software,11/6/2022,Production,Pull daughter question home learn feel above use.,Low,System,Truck
1488,Electrical,2/4/2023,Production,Become song too reality edge street want.,Low,Suspension,Truck
1489,Electrical,4/17/2016,Customer Delivery,Research reduce under different development every special.,High,Other,Hatchback
1490,Other,8/25/2022,Customer Delivery,Owner shoulder class environment.,Low,Body Panels,Hatchback
1491,Electrical,10/16/2023,Testing,Someone strong always either.,Low,Engine,SUV
1492,Other,2/16/2020,After Sales,Kind since window claim make.,Medium,Body Panels,Sedan
1493,Software,12/29/2015,After Sales,Hope though form both.,High,System,Sedan
1494,Body,6/3/2018,Testing,Soon week end real.,Medium,Suspension,Sedan
1495,Electrical,1/28/2023,Testing,Father while base social with street season.,Medium,Interior,SUV
1496,Electrical,4/23/2022,Customer Delivery,Attack whose ball total.,Medium,Brakes,Sedan
1497,Mechanical,9/20/2021,After Sales,Main good often make manage attention much arm.,Medium,Body Panels,Truck
1498,Software,9/11/2018,After Sales,While today big forward tonight structure skin.,Low,Other,Truck
1499,Mechanical,7/26/2023,After Sales,Quality interesting person fear should.,High,Engine,Truck
1500,Electrical,11/10/2022,Testing,Few speak pretty indicate build account.,Medium,Transmission,Truck
1501,Other,2/20/2017,Customer Delivery,Character challenge scientist exist.,High,Electrical System,Sedan
1502,Other,10/1/2018,Production,Face billion back relate ahead kitchen she.,Low,Body Panels,Sedan
1503,Software,2/6/2023,After Sales,Region serious remember if appear watch.,High,Other,Sedan
1504,Other,9/13/2018,Production,Hope rest point first.,High,Brakes,Hatchback
1505,Body,10/31/2023,Customer Delivery,Somebody action tough view.,Low,Electrical System,Hatchback
1506,Other,1/11/2022,Production,Tv course today home American.,Medium,Interior,SUV
1507,Mechanical,10/13/2022,Testing,Management stuff however.,High,Body Panels,Hatchback
1508,Electrical,1/11/2022,After Sales,Early keep citizen mouth individual phone expect.,High,Electrical System,SUV
1509,Electrical,10/9/2023,Production,Offer direction require eat sound nice expect.,Low,Brakes,Truck
1510,Mechanical,4/23/2022,After Sales,Idea between information factor draw its note.,Low,Other,SUV
1511,Body,9/13/2023,Testing,Deal concern smile others ground big.,High,Interior,SUV
1512,Other,4/15/2022,Customer Delivery,Staff method response risk court picture.,Low,Body Panels,SUV
1513,Software,11/25/2020,Production,Artist lead other guy.,Low,Other,Sedan
1514,Electrical,10/13/2020,After Sales,Available go idea contain member.,Low,Body Panels,Hatchback
1515,Mechanical,12/21/2023,Production,Position fall world mother usually.,Medium,Suspension,SUV
1516,Other,12/16/2020,Testing,Purpose determine environmental east.,Medium,Electrical System,Sedan
1517,Mechanical,6/9/2019,Production,Education floor fish when test always impact.,Low,Electrical System,SUV
1518,Electrical,1/18/2021,Testing,Majority home wonder.,Low,Other,SUV
1519,Other,9/20/2017,After Sales,Message run own.,Medium,Electrical System,Sedan
1520,Other,9/1/2020,Customer Delivery,Produce fine season.,Low,Other,Hatchback
1521,Electrical,10/2/2022,Production,Arm produce game contain democratic.,High,Brakes,Hatchback
1522,Other,11/23/2023,Production,Source hard TV themselves writer catch feel.,Low,Transmission,Sedan
1523,,12/28/2023,,,,,
1524,Mechanical,5/7/2019,Production,Sport else film around.,High,Other,Truck
1525,Electrical,4/7/2020,Testing,Thus start memory water thus the.,Medium,Engine,Truck
1526,Mechanical,12/4/2023,After Sales,Phone hotel not.,High,Electrical System,SUV
1527,Other,3/31/2021,Customer Delivery,Adult make job head interview manager.,Medium,Suspension,SUV
1528,Mechanical,5/10/2017,Testing,Age just glass.,High,Body Panels,SUV
1529,Body,10/5/2022,After Sales,School source clearly large same debate scene.,High,Transmission,SUV
1530,Electrical,11/14/2015,Customer Delivery,Until anyone form name.,High,Electrical System,Sedan
1531,,8/25/2023,,,,,
1532,Electrical,4/27/2022,Testing,Friend natural movement hotel factor future media.,Low,Suspension,Sedan
1533,,4/23/2023,,,,,
1534,Body,2/27/2018,After Sales,Other rock according make speech fly represent food.,Low,Other,Truck
1535,Mechanical,7/13/2019,Testing,Court available mean fish can material TV.,Medium,Body Panels,Hatchback
1536,Other,1/30/2023,Testing,Generation energy push recent later.,Medium,Transmission,Truck
1537,Other,3/10/2022,Customer Delivery,Memory cup suggest alone firm bit machine.,High,Brakes,Truck
1538,Body,12/11/2022,Production,Join blood live career spend may.,Low,Body Panels,Hatchback
1539,Electrical,5/11/2023,Production,Page money past natural help reach follow grow.,Low,Body Panels,SUV
1540,,3/19/2021,,,,,
1541,Other,3/12/2021,Customer Delivery,Animal cup hospital skill few.,Medium,Electrical System,SUV
1542,Body,6/11/2022,Customer Delivery,Reveal order board war.,Low,Suspension,Sedan
1543,Other,12/20/2016,After Sales,Begin old phone cut involve personal skill.,Low,Other,SUV
1544,,12/19/2023,,,,,
1545,Software,1/27/2023,Testing,Civil investment yourself hundred.,Medium,Other,Hatchback
1546,Software,11/9/2019,Production,Then use account agreement third.,Low,System,SUV
1547,Mechanical,5/12/2022,Testing,Standard by hope above read traditional also create.,Medium,Interior,SUV
1548,Body,5/19/2023,Customer Delivery,Body road scene decade rate feeling.,Medium,Engine,SUV
1549,Mechanical,10/13/2022,Customer Delivery,Major song charge many team my different system.,High,Suspension,Hatchback
1550,Software,2/17/2021,Testing,Cup race particular grow adult.,Low,Other,SUV
1551,Electrical,9/14/2012,After Sales,Detail make hit thought two smile.,Medium,Suspension,Hatchback
1552,Other,7/31/2023,Testing,Add bar dinner often onto vote.,Low,Brakes,SUV
1553,Mechanical,2/8/2023,Customer Delivery,Some anyone less friend thus.,Medium,Suspension,Hatchback
1554,Other,10/25/2023,Customer Delivery,Billion natural decide occur.,High,Transmission,Hatchback
1555,Mechanical,3/3/2019,After Sales,Option fight shake mother leg poor.,Medium,Engine,Truck
1556,Mechanical,6/29/2018,Production,Mind lawyer serve paper group item data.,Medium,Electrical System,Truck
1557,Software,1/7/2017,After Sales,Than do key strong oil eat know step.,Medium,System,Sedan
1558,Software,2/15/2019,Customer Delivery,Thus mean hospital behind full.,Low,Other,Sedan
1559,,8/10/2012,,,,,
1560,Other,10/4/2023,Testing,Raise kitchen nearly politics high actually.,High,Other,Hatchback
1561,Other,2/16/2021,Testing,Example question never lose.,Low,Engine,SUV
1562,Mechanical,11/26/2015,Testing,Them should way middle room reason memory.,Medium,Other,Truck
1563,Body,10/16/2023,Customer Delivery,Yeah past mind certain race worry.,High,Transmission,Truck
1564,Software,2/5/2019,Testing,Evidence book family because.,Medium,Other,SUV
1565,Software,10/28/2023,After Sales,Sea night head.,Medium,System,SUV
1566,Electrical,6/9/2011,Customer Delivery,Take create time my relate.,High,Other,Hatchback
1567,Software,9/22/2020,Testing,Peace but outside Democrat his which themselves believe.,High,Other,Truck
1568,Software,6/7/2023,Testing,Mrs statement before major sister.,Medium,Other,Truck
1569,Software,10/29/2015,Testing,Various him health fact imagine apply sing attorney.,High,System,SUV
1570,Electrical,3/8/2023,After Sales,Song new decide choice statement her note moment.,High,Other,SUV
1571,Software,5/14/2023,Customer Delivery,Tonight fine play indeed customer practice.,Low,System,Truck
1572,Electrical,4/24/2018,After Sales,Friend best run.,Low,Other,Sedan
1573,Body,2/23/2015,After Sales,Floor camera scientist new apply explain impact data.,Low,Brakes,Sedan
1574,Software,5/23/2023,After Sales,Political second relationship check begin create forward despite.,Low,System,SUV
1575,Other,5/14/2023,After Sales,Impact reason late probably us provide.,Medium,Transmission,Hatchback
1576,Electrical,11/23/2019,Customer Delivery,Hot particularly particular will.,Medium,Other,Sedan
1577,Body,11/4/2017,Production,Fight friend style which prepare mouth them.,Low,Brakes,Sedan
1578,Mechanical,7/18/2022,Customer Delivery,No member risk low you number.,High,Electrical System,Sedan
1579,Other,11/20/2020,Production,Live energy but.,Medium,Engine,Truck
1580,Body,4/16/2023,After Sales,Cut federal law opportunity.,Medium,Suspension,Hatchback
1581,Software,6/10/2022,Customer Delivery,Newspaper answer heavy feeling catch leader although.,Medium,Other,Truck
1582,Body,10/20/2023,Production,Race let beat form yeah half clear.,Low,Electrical System,Hatchback
1583,Body,8/26/2021,Testing,Sign check picture usually few rise room early.,Low,Brakes,Hatchback
1584,Other,3/15/2020,After Sales,Various region rock.,High,Brakes,SUV
1585,Other,7/5/2023,Customer Delivery,Fine finish affect hear state.,Low,Interior,Sedan
1586,Software,4/25/2023,Customer Delivery,See understand summer quality only responsibility capital.,Low,System,SUV
1587,Other,7/2/2021,Production,Expert avoid interest late very make area.,Low,Engine,SUV
1588,Mechanical,7/20/2023,Production,Recognize material well student run.,Low,Body Panels,Sedan
1589,Software,11/22/2019,After Sales,Store support family newspaper another move.,High,System,Hatchback
1590,Software,1/4/2018,Customer Delivery,Happen whose another.,High,Other,Hatchback
1591,Mechanical,6/27/2017,Testing,Lead decision drug everything mention child top.,Medium,Electrical System,SUV
1592,Other,6/23/2021,Production,Lawyer film natural us.,High,Brakes,Sedan
1593,Body,4/22/2018,Production,Heart sport answer security.,High,Other,Sedan
1594,Mechanical,8/26/2021,Customer Delivery,Way prepare community loss movement science.,High,Other,Truck
1595,Software,9/13/2022,Production,Practice bill their where else general.,High,System,Hatchback
1596,Other,3/19/2022,Production,Three process financial personal during water goal.,Low,Other,Sedan
1597,Mechanical,8/26/2013,Production,Region join season trial sister.,Low,Other,Sedan
